Species,Family,SVL,TL,SE,FLL,HLL,Fingers,Toes,N,Ecology,Source,PC1,PC2,PC3,Morph,Ecology
Lamprolepis smaragdina,Scincidae,85,121.5,14.28,31.25,38.5,5,5,4,arboreal,Pianka & Vitt (2003),1.04,0.487,0.196,0,0
Lerista bipes,Scincidae,48,39,3.1,0,8,0,2,1,burrowing,Cogger (1992),-0.723,-1.498,-0.451,1,1
Lerista bougainvillii,Scincidae,52.67,53.33,4.67,7.83,12.83,5,5,6,"cryptic, terrestrial",Cogger (1992),0.626,-0.877,-0.73,0,0
Melanoseps occidentalis,Scincidae,120.5,39,4,0,0,0,0,10,burrowing,Spawls et al. (2002),-1.321,-0.282,-0.795,1,1
Mesoscincus managuae,Scincidae,86.2,140.5,9.2,17.9,24,5,5,2,,,0.713,-0.033,0.395,0,
Mesoscincus schwartzei,Scincidae,108.1,174.4,12.4,27.1,37,5,5,6,terrestrial,Lee (1996),0.855,0.432,0.606,0,0
Morethia butleri,Scincidae,44.71,62.43,5.53,11.43,18.29,5,5,7,terrestrial,Cogger (1992),0.736,-0.882,-0.489,0,0
Nangura spinosa,Scincidae,91.2,77.4,13.9,27.8,35.6,5,5,5,terrestrial,,1.143,0.675,-0.413,0,0
Notoscincus ornatus,Scincidae,36.14,52.57,4.67,9.86,14.57,5,5,7,terrestrial,Cogger (1992),0.694,-1.195,-0.66,0,0
Ophiomorus punctatissimus,Scincidae,74.8,81.8,3.9,0,0,0,0,2,burrowing,Arnold & Burton (1978),-1.56,-1.014,0.324,1,1
Ophioscincus ophioscincus,Scincidae,92.25,76.5,4.2,0,0,0,0,4,BURROWING,Cogger (1992),-1.523,-0.726,0.181,1,1
Pamelaescincus gardineri,Scincidae,63.6,73.7,8.1,13.2,18.8,5,5,7,,,0.799,-0.24,-0.353,0,
Paracontias brocchii,Scincidae,118.2,81.9,5.5,0,0,0,0,2,under stones,Glaw & Vences (1994),-1.485,-0.267,0.223,1,0
Paracontias hildebrandti,Scincidae,47.2,44.1,2.3,0,0,0,0,3,under stones,Glaw & Vences (1994),-1.479,-1.716,-0.407,1,0
Paracontias holomelas,Scincidae,115.9,87.1,6.4,0,0,0,0,2,under stones,Glaw & Vences (1994),-1.47,-0.165,0.325,1,0
Plestiodon egregius,Scincidae,47,81.4,4.9,8.8,13.3,5,5,35,"terrestrial, cryptic, burrowing",Conant & Collins (1991),0.551,-1.09,-0.25,0,0
Plestiodon elegans,Scincidae,84.3,151.9,11,24.5,34.2,5,5,13,,,0.843,0.126,0.495,0,
Plestiodon fasciatus,Scincidae,66.7,112.8,9,19.5,27.1,5,5,40,"terrestrial, arboreal",Conant & Collins (1991),0.815,-0.202,0.171,0,0
Plestiodon inexpectatus,Scincidae,71.6,118.9,9.6,20.8,29.3,5,5,25,"terrestrial, arboreal",Conant & Collins (1991),0.836,-0.086,0.221,0,0
Plestiodon laticeps,Scincidae,109.7,167,15.7,33.9,46.5,5,5,14,arboreal,Conant & Collins (1991),1.001,0.711,0.547,0,0
Plestiodon longirostris,Scincidae,66.1,101.5,10,21.8,31.8,5,5,8,terrestrial,Garman (1884),0.918,-0.059,0.036,0,0
Plestiodon lynxe,Scincidae,58.7,82.8,6.7,13.6,18.8,5,5,11,,,0.725,-0.531,-0.197,0,
Plestiodon obsoletus,Scincidae,105.7,161.2,12.7,27.7,34.8,5,5,20,"terrestrial, cryptic","Stebbins (1985), JJW",0.882,0.464,0.506,0,0
Plestiodon reynoldsi,Scincidae,54,57.5,4.2,2,6.6,1.1,2,19,burrowing,Conant & Collins (1991),-0.296,-1.068,-0.272,1,1
Prasinohaema virens,Scincidae,51,68.75,9.15,19,21.25,5,5,4,arboreal,Cogger (1992),0.94,-0.263,-0.409,1,0
Proscelotes eggeli,Scincidae,87,110.3,6.3,8.4,12.5,5,5,2,burrowing,Spawls et al. (2002),0.467,-0.383,0.103,0,1
Pygomeles braconnieri,Scincidae,139.1,88.2,7.4,0,3.5,0,1,9,burrowing,Glaw & Vences (1994),-1.015,0.06,0.366,1,1
Saiphos equalis,Scincidae,68,79.5,4.65,6,7.5,3,3,2,burrowing,Cogger (1992),0.112,-0.786,-0.169,1,1
Scelotes anguineus,Scincidae,56.5,52.8,3.6,0,0,0,0,3,burrowing,Rose (1950),-1.436,-1.193,-0.18,1,1
Scelotes arenicolus,Scincidae,68.8,59,3.8,0,0,0,0,13,burrowing,Branch (1998),-1.46,-0.999,-0.086,1,1
Scelotes bipes,Scincidae,47.9,39,3,0,3.1,0,2,2,burrowing,Branch (1998),-0.846,-1.539,-0.484,1,1
Scelotes caffer,Scincidae,46.7,59.5,2.8,2.8,8.5,3,3,2,"terrestrial, cryptic",Branch (1998),-0.02,-1.579,-0.406,1,0
Scelotes gronovii,Scincidae,67.4,57.5,3.8,0,3.1,0,1,2,burrowing,Branch (1998),-1.039,-1.086,-0.053,1,1
Scelotes kasneri,Scincidae,64.8,54.9,4.4,0,6.6,0,2,2,"terrestrial, cryptic, burrowing?",Branch (1998),-0.779,-1.015,-0.061,1,0
Scelotes mirus,Scincidae,75.3,88.5,4.7,5.9,11.5,5,5,3,"terrestrial, among grass",Branch (1998),0.396,-0.751,-0.136,0,0
Scelotes sexlineatus,Scincidae,75.7,71.3,4.5,0,8.9,0,2,4,burrowing,Branch (1998),-0.82,-0.94,0.251,1,1
Scincopus fasciatus,Scincidae,150.5,95.3,21.9,43.9,47.7,5,5,13,burrowing in sand,Schleich et al. (1996),1.311,1.549,-0.289,0,1
Scincus scincus,Scincidae,117.2,77.6,16.6,31.6,37.7,5,5,5,burrowing in sand,Schleich et al. (1996),1.215,1.089,-0.481,0,1
Sepsina angolensis,Scincidae,71.1,63.7,4.1,2.4,7.4,3,3,6,"leaf litter, burrowing",Branch (1998),0.001,-0.87,-0.394,1,1
Sphenops boulengeri,Scincidae,83.9,67.9,6.3,7.5,17.7,4.8,5,3,burrowing in sand,Schleich et al. (1996),0.638,-0.253,-0.494,0,1
Sphenops sphenopsiformis,Scincidae,98.3,49.8,6.9,4.4,15.8,2,4,1,burrowing in sand,Schleich et al. (1996),0.359,0.027,-0.727,1,1
Tiliqua adelaidensis,Scincidae,88.55,55.18,11.84,17.91,18.27,5,5,11,terrestrial,Cogger (1992),1.032,0.561,-0.837,0,0
Tribolonotus gracilis,Scincidae,70,73.5,12.2,24.5,33,5,5,2,under vegetation near water,Hartdegen et al. (2001),1.095,0.31,-0.402,0,0
Typhlacontias brevipes,Scincidae,94.5,35.7,4.2,0,0,0,0,12,burrowing,Branch (1998),-1.279,-0.43,-0.835,1,1
Typhlacontias punctatissimus,Scincidae,65.6,36.3,2.8,0,0,0,0,3,burrowing,Branch (1998),-1.375,-1.156,-0.744,1,1
Typhlosaurus caecus,Scincidae,190.1,29.4,4.1,0,0,0,0,8,burrowing,Branch (1998),-1.229,0.266,-1.301,1,1
Typhlosaurus lineatus,Scincidae,141.1,22.7,4.3,0,0,0,0,26,burrowing,Branch (1998),-1.132,0.127,-1.551,1,1
Voeltzkowia fierinensis,Scincidae,57.4,59.9,3,0,3.6,0,2,2,burrowing,Glaw & Vences (1994),-0.968,-1.523,0.035,1,1
Voeltzkowia lineata,Scincidae,64.6,54.7,3.1,0,0,0,0,8,burrowing,Glaw & Vences (1994),-1.482,-1.221,-0.187,1,1
Acrochordus granulatus,Serpentes,675.9,82.4,9.4,0,0,0,0,6,aquatic,Zug et al. (2001),-1.379,1.853,-0.234,1,0
Agkistrodon contortrix,Serpentes,677,97.4,14.4,0,0,0,0,6,terrestrial,Contant & Collins (1991),-1.334,2.195,0.028,1,0
Anilius scytale,Serpentes,725,25.2,9.3,0,0,0,0,5,burrowing,"JJW, Zug et al. (2001)",-1.003,2.333,-1.824,1,1
Calabaria reinhardtii,Serpentes,694.8,56.9,12.8,0,1.8,0,0.8,4,burrowing,Grzimek encyclopedia,-0.864,2.234,-0.657,1,1
Candoia carinata,Serpentes,526.2,88.8,14.4,0,1,0,0.4,5,"arboreal, terrestrial",Austin (2000),-1.101,1.957,0.01,1,0
Casarea dussumieri,Serpentes,496,187,8.2,0,0,0,0,1,,,-1.67,1.144,0.93,1,
Causus maculatus,Serpentes,486.8,37.6,10.8,0,0,0,0,9,terrestrial,Spawls et al. (2002),-1.093,1.96,-1.162,1,0
Cereberus rhynchops,Serpentes,482.9,122.6,8.7,0,0,0,0,7,aquatic,"JJW, Zug et al. (2001)",-1.521,1.326,0.384,1,0
Charina bottae,Serpentes,406.8,53.8,8.2,0,0.6,0,0.6,5,"burrowing, terrestrial",Stebbins (1985),-1.061,1.349,-0.638,1,0
Chondropython viridis,Serpentes,938.5,177.5,21.7,0,1.1,0,0.8,4,arboreal,Cogger (1992),-1.152,2.598,0.799,1,0
Cylindrophis maculatus,Serpentes,322.7,6.3,5.1,0,0,0,0,5,burrowing,Zug et al. (2001),-0.69,1.515,-3.477,1,1
Elaphe guttata,Serpentes,771,145.6,12.7,0,0,0,0,5,"terrestrial, arboreal",Conant & Collins (1991),-1.493,2.054,0.51,1,0
Epicrates striatus,Serpentes,1213.6,240,22.6,0,3.9,0,1,5,arboreal,Schwartz & Henderson (1991),-1.085,2.762,1.16,2,0
Eryx johni,Serpentes,635.4,80.6,13.4,0,0.9,0,0.6,5,burrowing,Zug et al. (2001),-1.056,2.081,-0.182,1,1
Exiliboa plicata,Serpentes,360.3,55.3,6,0,1.4,0,1,4,terrestrial,Zug et al. (2001),-1.015,0.908,-0.577,1,0
Farancia abacura,Serpentes,931,123,11.6,0,0,0,0,5,"burrowing, semi-aquatic",Conant & Collins (1991),-1.462,2.204,0.222,1,0
Leptotyphlops humilis,Serpentes,232.3,11.3,2.4,0,0,0,0,4,burrowing,"Stebbins (1985), Zug et al. (2001)",-1.047,0.293,-2.677,1,1
Loxocemus bicolor,Serpentes,595.3,72.2,10.5,0,0.7,0,0.8,4,terrestrial,Zug et al. (2001),-1.058,1.814,-0.334,1,0
Micrurus fulvius,Serpentes,673.2,79.9,8,0,0,0,0,5,terrestrial,Conant & Collins (1991),-1.406,1.709,-0.288,1,0
Nerodia sipedon,Serpentes,555.5,175.3,12.3,0,0,0,0,6,semi-aquatic (for genus),Conant & Collins (1991),-1.557,1.653,0.849,1,0
Pareas kuangtungensis,Serpentes,438.3,127.2,7.4,0,0,0,0,3,arboreal,Zug et al. (2001),-1.569,1.071,0.447,1,0
Trachyboa boulengeri,Serpentes,287,32.7,6.8,0,0.4,0,0.2,6,"terrestrial, semi-aquatic",Zug et al. (2001),-1.047,1.065,-1.22,1,0
Tropidophis haitianus,Serpentes,385.2,53.6,7.4,0,1.1,0,0.8,4,"terrestrial, arboreal",Schwartz & Henderson (1991),-1.008,1.191,-0.625,1,0
Typhlops angolensis,Serpentes,403.9,7.5,6.2,0,0,0,0,5,burrowing (for genus),Zug et al. (2001),-0.703,1.844,-3.294,1,1
Ungaliophis continentalis,Serpentes,458.1,60.5,7.7,0,1.5,0,0.5,2,arboreal (for genus),Savage (2002),-1.068,1.372,-0.507,1,0
Uropeltis ceylonicus,Serpentes,266.4,13.2,5,0,0,0,0,5,burrowing,Zug et al. (2001),-0.93,1.053,-2.443,1,1
Xenopeltis unicolor,Serpentes,611.1,68.5,11.9,0,0,0,0,5,"""semi-fossorial"" use tunnels of other animals?",Zug et al. (2001),-1.265,2.047,-0.426,1,0
Shinisaurus crocodiluris,Shinisauridae,135.5,162,18.5,40.7,48.9,5,5,4,"terrestrial, semi-aquatic",Zug et al. (2001),1.091,1.094,0.439,0,0
Sphenodon punctatus,Sphenodontidae,216.7,206.1,36.4,62.9,87,5,5,4,"terrestrial, burrowing",Zug et al. (2001),1.339,2.136,0.649,0,0
Ameiva ameiva,Teiidae,191.3,400.1,36.4,61.4,123.2,5,5,6,terrestrial,"JJW, Duellman (2005)",1.173,1.783,1.58,0,0
Aspidoscelis sexlineatus,Teiidae,63.9,140.8,11,20.7,41.8,5,5,8,terrestrial,"JJW, Conant & Collins (1991)",0.864,-0.122,0.505,0,0
Dicrodon guttulatum,Teiidae,120.1,273.3,21.4,40.1,82.5,5,5,9,terrestrial,Zug et al. (2001),1.031,0.935,1.202,0,0
Teius teyou,Teiidae,115.6,247.3,19.2,34.4,72.4,5,4,4,terrestrial,Zug et al. (2001),0.935,0.838,1.084,0,0
Varanus griseus,Varanidae,303.5,355.3,37.1,73.9,90.4,5,5,3,terrestrial,Zug et al. (2001),1.204,2.291,1.253,0,0
Lepidophyma flavimaculatum,Xantusiidae,85.7,122.9,10.8,26.3,34.7,5,5,4,"terrestrial, cryptic",Savage (2002),0.922,0.208,0.2,0,0
Xantusia vigilis,Xantusiidae,39.7,48.5,5,10.1,14,5,5,7,terrestrial,Stebbins (1985),0.734,-1.013,-0.792,0,0
Xenosaurus grandis,Xenosauridae,100.5,90.3,14.9,30.7,37.8,5,5,5,"terrestrial, saxicolous","JJW, Zug et al. (2001)",1.137,0.787,-0.241,0,0
